0,1,2,3,4,5,6,7,8,9,label
0.78956234,0.7653393,0.68545437,0.39358962,0.3867807,0.61893547,0.56744266,0.38431856,0.8960401,0.96932095,heart
0.92718995,0.80381745,0.66686314,0.3822477,0.37828073,0.68330085,0.56689644,0.39676178,0.8632557,0.8669393,heart
1.2671145,0.7878812,0.6909346,0.3646116,0.3628934,0.7297158,0.72177917,0.43473378,0.86783797,0.6217916,heart
0.9572965,0.79060173,0.67336154,0.37525108,0.38200927,0.6045926,0.6665948,0.40076554,0.8725863,0.8258692,heart
0.9277355,0.8059948,0.66244054,0.38915777,0.3755969,0.6513422,0.62779117,0.41172227,0.85501266,0.8687765,heart
1.0292425,0.8014905,0.65194905,0.35872802,0.3755435,0.6778927,0.684818,0.47444707,0.8370183,0.7787188,heart
0.9135069,0.76600766,0.6921848,0.40283698,0.38844475,0.66269225,0.5213275,0.3361748,0.9220869,0.8385352,heart
1.0491652,0.7732237,0.6514089,0.36232173,0.3771439,0.64977133,0.7001284,0.45581272,0.8713085,0.73698944,heart
0.9685607,0.78822654,0.6609373,0.3863998,0.38555458,0.62148833,0.6770188,0.39029512,0.86256486,0.81381226,heart
0.9048587,0.7957179,0.66906744,0.36916235,0.37239265,0.59574205,0.6999194,0.44818643,0.86547977,0.87938356,heart
0.99671215,0.77845085,0.66776323,0.40476143,0.3613064,0.8095043,0.49558368,0.3992023,0.88822657,0.78101873,heart
1.1904762,0.78402,0.6664446,0.3656982,0.36790276,0.740556,0.73366755,0.43896207,0.8660029,0.6585768,heart
0.8003537,0.7883141,0.6830775,0.37616092,0.39622554,0.5772066,0.63063365,0.40743405,0.86613196,0.9849571,heart
0.77200234,0.7883711,0.65803623,0.3862308,0.3849788,0.6160673,0.60776985,0.4234334,0.8732097,1.021203,heart
0.860761,0.80865425,0.6389321,0.38284165,0.3618269,0.64257556,0.6283145,0.47318503,0.83996165,0.9394643,heart
0.905174,0.75794613,0.68119264,0.3817566,0.38291582,0.63208556,0.632718,0.37970763,0.91043645,0.8373485,heart
0.8618991,0.7951556,0.66817075,0.36493352,0.40300274,0.62002844,0.61354285,0.39073887,0.8809758,0.9225623,heart
0.89486206,0.77833486,0.69066375,0.38039434,0.39925554,0.59791046,0.6127381,0.34835327,0.89148206,0.8697819,heart
0.9775186,0.77778,0.6661729,0.37043464,0.3699267,0.6315524,0.69924426,0.4409174,0.87532485,0.7956677,heart
0.9659049,0.79709786,0.6613092,0.36503664,0.3722267,0.628759,0.7007884,0.46286443,0.84848803,0.82523435,heart
0.84217644,0.7946515,0.65996236,0.38099605,0.36805123,0.65792894,0.6016522,0.4490651,0.85736924,0.94356894,heart
1.024248,0.7613049,0.65462416,0.38382915,0.37142402,0.75068444,0.5915637,0.410485,0.8869198,0.74328184,heart
0.92336893,0.8111032,0.6504955,0.37283298,0.38269863,0.5665379,0.7327974,0.43778336,0.85057205,0.8784173,heart
0.8425033,0.7516211,0.7091468,0.3932291,0.3691325,0.6240762,0.6134892,0.3844666,0.91812104,0.89212835,heart
0.91574025,0.78908604,0.673995,0.37908393,0.3720979,0.6358492,0.6526943,0.42759654,0.8714194,0.861692,heart
0.7982869,0.78931135,0.683656,0.3877543,0.37707657,0.55929685,0.6515964,0.41196316,0.8773289,0.9887564,heart
0.9304935,0.77776337,0.66262937,0.373593,0.3776329,0.5847417,0.70554125,0.4324142,0.86821246,0.83586115,heart
0.88117784,0.7566937,0.69352615,0.3950682,0.39258197,0.6608876,0.5782416,0.3780919,0.89359283,0.85872984,heart
0.7862993,0.7955312,0.6771947,0.39955276,0.39263612,0.52937806,0.6482873,0.36676955,0.86783886,1.0117409,heart
0.82368493,0.7925717,0.691323,0.38094538,0.36508006,0.5663703,0.66021526,0.42408168,0.87501127,0.9622268,heart
0.79561675,0.7931879,0.69422936,0.38870588,0.38968214,0.5907006,0.60402286,0.39490798,0.8756734,0.9969473,heart
0.7534826,0.77891713,0.67051893,0.3926597,0.38445055,0.62242585,0.57213193,0.41409886,0.88381463,1.033756,heart
0.96005356,0.7981319,0.6721498,0.34989068,0.4182909,0.41575214,0.8920611,0.43292922,0.8883682,0.831341,heart
0.7348523,0.7405064,0.7121033,0.40496796,0.40327013,0.55491066,0.59220827,0.371291,0.92614895,1.0076942,heart
0.92637014,0.78330624,0.696106,0.38422212,0.3796578,0.6751361,0.56958944,0.3899664,0.8808718,0.8455651,heart
0.7147864,0.7882799,0.68302804,0.36994213,0.40205717,0.53857327,0.62354606,0.42730805,0.87675446,1.1028188,heart
0.992829,0.76228744,0.68142545,0.3776881,0.3701847,0.6961999,0.62568605,0.40087658,0.90660506,0.7677933,heart
0.84084773,0.76364803,0.69955415,0.37985295,0.38893563,0.6129849,0.60867715,0.40355742,0.9134196,0.9081883,heart
0.78653693,0.78738683,0.6838321,0.36534768,0.39626017,0.62902826,0.58956033,0.4152482,0.8931022,1.0010806,heart
0.80933785,0.77627146,0.70219135,0.3605492,0.39697337,0.48052612,0.711945,0.4152476,0.8979284,0.9591439,heart
0.9461982,0.77941,0.7058081,0.38466915,0.3767458,0.6320234,0.5803316,0.380364,0.90513486,0.82372797,heart
0.871424,0.765029,0.7007873,0.37932122,0.38222596,0.633138,0.59342957,0.39799547,0.9018697,0.87790674,heart
0.8093171,0.77597,0.7002025,0.39607796,0.38685194,0.6511152,0.52402896,0.37844,0.904244,0.95879596,heart
0.7927138,0.776734,0.70552224,0.37546003,0.39650455,0.61600226,0.5762928,0.40151632,0.9008474,0.97984165,heart
1.1718769,0.774835,0.70799154,0.3682528,0.37402034,0.6511739,0.68809056,0.384276,0.90242493,0.66119146,heart
0.8064823,0.78528935,0.6741272,0.36056992,0.4134241,0.4688044,0.75255805,0.4234908,0.88829356,0.9737217,heart
0.9970897,0.78292507,0.6788025,0.3685761,0.37990797,0.61855793,0.69789785,0.41503665,0.8838858,0.7852103,heart
0.9289891,0.7721081,0.68220294,0.3710101,0.37868538,0.69987065,0.58658034,0.4004827,0.8932001,0.83112717,heart
